Provider ID,Hospital Name,Summary star rating,ZIP Code,City,State,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,MORT_30_AMI,PSI_11_POST_RESP,PSI_12_POSTOP_PULMEMB_DVT,MORT_30_CABG,PSI_10_POST_KIDNEY,PSI_4_SURG_COMP,PSI_14_POSTOP_DEHIS,PSI_6_IAT_PTX,MORT_30_STK,PSI_8_POST_HIP,PSI_13_POST_SEPSIS,PSI_15_ACC_LAC,PSI_90_SAFETY,MORT_30_HF,PSI_3_ULCER,COMP_HIP_KNEE,MORT_30_PN,MORT_30_COPD,PSI_9_POST_HEM,HAI_2_SIR,HAI_6_SIR,HAI_3_SIR,HAI_5_SIR,HAI_4_SIR,HAI_1_SIR,READM_30_PN,READM_30_HF,EDAC_30_HF,READM_30_STK,READM_30_AMI,READM_30_COPD,READM_30_CABG,EDAC_30_AMI,READM_30_HOSP_WIDE,READM_30_HIP_KNEE,MSPB_1,OP_10,OP_13,OP_11,OP_14,OP_8,OP_9,OP_25,OP_17,OP_12,SM_SS_CHECK,SM_PART_GEN_SURG,SM_PART_NURSE,ACS_REGISTRY,OP_4,OP_22,OP_5,OP_21,OP_20
10001,SOUTHEAST ALABAMA MEDICAL CENTER,3,36301,DOTHAN,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,13.4,10.3,3.76,3.5,0.89,165.09,2.48,0.33,16.1,0.11,4.94,1.17,0.85,11.4,0.22,4.2,15.4,9.7,3.78,1.012,0.33899999999999997,0.424,1.611,0.0,0.8740000000000001,18.5,20.9,12.3,12.2,16.1,19.7,14.3,-5.1,15.6,4.7,1.0,9.0,5.9,1.5,1.6,35.1,4.6,Yes,No,Yes,Y,N,Y,,,5.0,,96.0,59.0
10005,MARSHALL MEDICAL CENTER SOUTH,4,35957,BOAZ,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,14.7,12.93,4.84,,1.09,174.65,2.13,0.39,14.9,0.1,5.49,0.85,0.99,15.8,0.11,3.1,20.2,9.7,4.79,1.213,0.08199999999999999,0.0,0.698,,0.535,15.6,23.7,22.0,11.8,15.9,17.3,,-22.4,14.4,5.6,0.98,16.1,3.9,8.9,1.8,43.0,4.3,Yes,Yes,Yes,Y,N,N,,98.0,2.0,14.0,67.0,23.0
10006,ELIZA COFFEE MEMORIAL HOSPITAL,3,35631,FLORENCE,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,15.7,,4.62,4.5,,176.48,2.65,0.42,19.3,0.11,,0.81,1.0,13.4,0.07,3.8,17.1,6.8,6.3,1.27,0.495,0.4,1.682,,1.228,17.8,21.6,9.3,12.6,16.8,19.6,15.0,2.6,15.6,5.1,0.99,12.9,3.5,4.2,1.6,36.5,6.8,Yes,Yes,Yes,Y,N,N,,,1.0,,70.0,13.0
10007,MIZELL MEMORIAL HOSPITAL,4,36467,OPP,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Below the national average,Below the national average,Above the national average,,13.7,11.07,4.09,,1.11,,,0.39,15.4,0.1,5.75,,0.95,15.0,0.21,2.8,22.3,8.1,4.68,,,,,,,17.3,21.9,9.2,12.7,,19.7,,,16.6,5.1,1.09,15.5,,7.5,,,20.3,Yes,Yes,Yes,Y,N,N,,100.0,2.0,7.0,62.0,40.0
10011,ST VINCENT'S EAST,3,35235,BIRMINGHAM,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,13.3,14.53,5.16,3.8,1.17,157.43,2.1,0.31,11.9,0.11,7.1,0.82,1.12,11.9,0.09,3.6,16.3,8.2,5.49,0.805,0.6,0.321,0.354,,1.598,17.1,21.6,17.7,11.7,16.1,19.4,13.4,7.0,14.9,4.8,1.02,4.8,,9.6,1.8,40.7,,Yes,Yes,Yes,Y,N,Y,,,3.0,,81.0,52.0
10012,DEKALB REGIONAL MEDICAL CENTER,3,35968,FORT PAYNE,AL,Acute Care Hospitals,Proprietary,Yes,Y,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,15.8,9.44,3.92,,1.09,,2.22,0.37,16.8,0.1,6.28,0.87,0.91,13.3,0.19,,24.1,8.3,4.47,0.0,0.723,,,,,18.2,23.7,16.6,12.4,15.4,20.5,,-12.9,14.9,,1.0,8.7,5.7,3.8,,57.1,4.9,Yes,Yes,Yes,Y,N,N,,100.0,2.0,1.0,58.0,32.0
10016,SHELBY BAPTIST MEDICAL CENTER,3,35007,ALABASTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,16.8,8.82,3.5,3.7,1.17,144.83,1.99,0.35,15.1,0.11,5.77,0.78,0.94,14.1,0.57,2.4,16.7,6.6,4.93,0.852,0.465,0.0,0.701,,0.889,15.3,21.5,26.2,11.8,16.8,18.8,14.6,9.6,15.2,4.5,1.04,22.9,6.9,0.6,1.2,37.1,10.0,Yes,Yes,Yes,Y,N,N,,,1.0,,60.0,16.0
10019,HELEN KELLER MEMORIAL HOSPITAL,3,35660,SHEFFIELD,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,14.6,,3.86,,,,2.13,0.4,15.5,0.1,,0.84,0.95,12.3,0.12,1.7,17.8,7.6,4.5,0.755,0.342,0.628,,,1.589,18.2,22.4,8.7,11.5,,21.1,,,15.8,4.0,1.04,19.4,,1.0,2.2,35.8,4.6,Yes,Yes,Yes,Y,N,N,,98.0,1.0,0.0,70.0,29.0
10021,DALE MEDICAL CENTER,4,36360,OZARK,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,,12.99,4.74,,1.11,,,0.38,,0.1,5.37,,1.0,12.6,0.19,4.0,14.5,6.0,4.72,,0.0,,,,,16.0,21.3,-11.4,,,18.4,,,15.1,4.8,1.0,4.3,4.7,0.0,1.4,50.0,8.3,Yes,Yes,Yes,Y,N,N,,96.0,2.0,6.0,45.0,25.0
10022,CHEROKEE MEDICAL CENTER,4,35960,CENTRE,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,,,,,,,,,0.39,,0.1,,,1.0,13.5,0.24,,18.1,7.8,,,,,,,,15.2,21.2,-24.4,,,19.0,,,15.0,,0.96,0.9,,2.8,,,4.6,Yes,No,Yes,Y,N,N,,93.0,1.0,8.0,50.0,13.0
