Summary star rating,State,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,OP_12,SM_PART_NURSE,OP_17,SM_PART_GEN_SURG,SM_SS_CHECK,OP_25,MORT_30_PN,PSI_11_POST_RESP,PSI_6_IAT_PTX,PSI_13_POST_SEPSIS,COMP_HIP_KNEE,PSI_3_ULCER,PSI_12_POSTOP_PULMEMB_DVT,MORT_30_CABG,PSI_10_POST_KIDNEY,MORT_30_STK,PSI_14_POSTOP_DEHIS,MORT_30_HF,PSI_90_SAFETY,PSI_15_ACC_LAC,MORT_30_COPD,PSI_8_POST_HIP,MORT_30_AMI,PSI_4_SURG_COMP,PSI_9_POST_HEM,HAI_1_SIR,HAI_3_SIR,HAI_2_SIR,HAI_4_SIR,HAI_5_SIR,HAI_6_SIR,EDAC_30_AMI,READM_30_AMI,EDAC_30_HF,READM_30_CABG,READM_30_HOSP_WIDE,READM_30_HIP_KNEE,READM_30_COPD,READM_30_STK,READM_30_HF,READM_30_PN,MSPB_1,OP_10,OP_8,OP_13,OP_9,OP_14,OP_11,OP_20,OP_21,OP_22,OP_5,OP_4
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Yes,Y,No,N,Y,Yes,15.4,10.3,0.33,4.94,4.2,0.22,3.76,3.5,0.89,16.1,2.48,11.4,0.85,1.17,9.7,0.11,13.4,165.09,3.78,0.8740000000000001,0.424,1.012,0.0,1.611,0.339,-5.1,16.1,12.3,14.3,15.6,4.7,19.7,12.2,20.9,18.5,1.0,9.0,35.1,5.9,4.6,1.6,1.5,59.0,96.0,5.0,,
4,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Yes,N,Yes,N,Y,Yes,20.2,12.93,0.39,5.49,3.1,0.11,4.84,,1.09,14.9,2.13,15.8,0.99,0.85,9.7,0.1,14.7,174.65,4.79,0.535,0.0,1.213,,0.698,0.08199999999999999,-22.4,15.9,22.0,,14.4,5.6,17.3,11.8,23.7,15.6,0.98,16.1,43.0,3.9,4.3,1.8,8.9,23.0,67.0,2.0,14.0,98.0
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,17.1,,0.42,,3.8,0.07,4.62,4.5,,19.3,2.65,13.4,1.0,0.81,6.8,0.11,15.7,176.48,6.3,1.228,0.4,1.27,,1.682,0.495,2.6,16.8,9.3,15.0,15.6,5.1,19.6,12.6,21.6,17.8,0.99,12.9,36.5,3.5,6.8,1.6,4.2,13.0,70.0,1.0,,
4,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Below the national average,Below the national average,Above the national average,,Yes,N,Yes,N,Y,Yes,22.3,11.07,0.39,5.75,2.8,0.21,4.09,,1.11,15.4,,15.0,0.95,,8.1,0.1,13.7,,4.68,,,,,,,,,9.2,,16.6,5.1,19.7,12.7,21.9,17.3,1.09,15.5,,,20.3,,7.5,40.0,62.0,2.0,7.0,100.0
3,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Yes,Y,Yes,N,Y,Yes,16.3,14.53,0.31,7.1,3.6,0.09,5.16,3.8,1.17,11.9,2.1,11.9,1.12,0.82,8.2,0.11,13.3,157.43,5.49,1.598,0.321,0.805,,0.354,0.6,7.0,16.1,17.7,13.4,14.9,4.8,19.4,11.7,21.6,17.1,1.02,4.8,40.7,,,1.8,9.6,52.0,81.0,3.0,,
3,AL,Acute Care Hospitals,Proprietary,Yes,Y,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,24.1,9.44,0.37,6.28,,0.19,3.92,,1.09,16.8,2.22,13.3,0.91,0.87,8.3,0.1,15.8,,4.47,,,0.0,,,0.723,-12.9,15.4,16.6,,14.9,,20.5,12.4,23.7,18.2,1.0,8.7,57.1,5.7,4.9,,3.8,32.0,58.0,2.0,1.0,100.0
3,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Yes,N,Yes,N,Y,Yes,16.7,8.82,0.35,5.77,2.4,0.57,3.5,3.7,1.17,15.1,1.99,14.1,0.94,0.78,6.6,0.11,16.8,144.83,4.93,0.889,0.0,0.852,,0.701,0.465,9.6,16.8,26.2,14.6,15.2,4.5,18.8,11.8,21.5,15.3,1.04,22.9,37.1,6.9,10.0,1.2,0.6,16.0,60.0,1.0,,
3,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Yes,N,Yes,N,Y,Yes,17.8,,0.4,,1.7,0.12,3.86,,,15.5,2.13,12.3,0.95,0.84,7.6,0.1,14.6,,4.5,1.589,0.628,0.755,,,0.342,,,8.7,,15.8,4.0,21.1,11.5,22.4,18.2,1.04,19.4,35.8,,4.6,2.2,1.0,29.0,70.0,1.0,0.0,98.0
4,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Yes,N,Yes,N,Y,Yes,14.5,12.99,0.38,5.37,4.0,0.19,4.74,,1.11,,,12.6,1.0,,6.0,0.1,,,4.72,,,,,,0.0,,,-11.4,,15.1,4.8,18.4,,21.3,16.0,1.0,4.3,50.0,4.7,8.3,1.4,0.0,25.0,45.0,2.0,6.0,96.0
4,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,,Yes,N,No,N,Y,Yes,18.1,,0.39,,,0.24,,,,,,13.5,1.0,,7.8,0.1,,,,,,,,,,,,-24.4,,15.0,,19.0,,21.2,15.2,0.96,0.9,,,4.6,,2.8,13.0,50.0,1.0,8.0,93.0
